file	text
17942ed6c7e2.mp3	Seit drei Tagen haben Sie zusätzlich Halsschmerzen.
1832272a04f4.mp3	Danach richtet sich, welche Maßnahmen notwendig sind.
18ae12f0c20a.mp3	Außerdem haben Sie etwa fünf Kilogramm ungewollt abgenommen. Fieber, Übelkeit oder Erbrechen bestehen nicht.
190a349fe2a0.mp3	Verstärken Husten, Niesen oder Pressen die Schmerzen?
198a1f85722c.mp3	Sie berichten über starke Schmerzen im linken Knie.
19f5e7aba938.mp3	Dafür kommen verschiedene Ursachen infrage.
1a7f2bb7ad10.mp3	Ich erkläre Ihnen jetzt kurz, wie es weitergeht.
1b0dbeef9269.mp3	Ob Sie arbeiten können, hängt vom Befund und Ihrer Tätigkeit ab.
1b0e2e469c62.mp3	Ob eine Bildgebung notwendig ist, können wir erst nach der Untersuchung besser einschätzen.
1b9b063391d2.mp3	Die Schmerzen strahlen bis in den rechten Fuß aus und werden beim Sitzen und Bücken stärker.
1ba38ec17bc2.mp3	Wird das Asthma chronisch?
1bd4e2a68ad9.mp3	Taubheitsgefühl oder Kribbeln im Arm bestehen nicht.
1f100f288b72.mp3	Seh-, Sprach- oder Hörstörungen, Erbrechen, Bewusstseinsverlust oder Fieber bestehen nicht.
1f1f48955daf.mp3	Sie berichten über trockenen Husten, Fieber und ein starkes Krankheitsgefühl.
1f9b4a19dc82.mp3	Sie berichten über starke Schmerzen in der rechten Schulter.
2054c3384734.mp3	Die Beschwerden verstärken sich bei Staubkontakt und in geschlossenen Räumen.
21713743577c.mp3	Sind Ihre Impfungen vollständig und aktuell?
21fe82d19b30.mp3	Hatten Sie Schwindel oder sind Sie ohnmächtig geworden?
22241082458b.mp3	Zusätzlich bestehen Atemnot bei Belastung, Nachtschweiß und verminderter Appetit.
22ef43cbf4cd.mp3	Was machen Sie beruflich?
2374faa70434.mp3	Ja, hier wäre vor allem eine Spiegelung von Speiseröhre und Magen wichtig.
23b0bc8f622e.mp3	Wenn wir Warnzeichen feststellen, würde ich Sie ins Krankenhaus einweisen.
241f2deac20e.mp3	Dabei können wir die Schleimhaut direkt ansehen und bei Bedarf Gewebeproben entnehmen.
244e70516b0b.mp3	eine CT-Untersuchung
256dc583d3c6.mp3	Die genaue Ursache können wir erst nach der Untersuchung und gegebenenfalls weiteren Untersuchungen besser einschätzen.
25b5d9e2f156.mp3	Sollte ich mich lieber schonen oder bewegen?
26008570a89f.mp3	Wenn die Beschwerden länger anhalten, können weitere Untersuchungen sinnvoll sein.
263aaee2813a.mp3	Glauben Sie, dass das etwas mit meinem Herzen zu tun hat? Mein Vater hatte schließlich auch Herzprobleme.
266b315cab47.mp3	Können die Beschwerden etwas mit der Ernährung zu tun haben?
267b1ab08b1d.mp3	Das würde ich im Moment noch nicht entscheiden.
280051b279b1.mp3	Im Moment sollten Sie das Knie zunächst schonen und nicht stark belasten.
28f0a762e9ba.mp3	Ist das etwas Gefährliches oder geht das von allein weg?
2a9be7879ea5.mp3	Zusammen mit Ihren anderen Beschwerden müssen wir das dringend abklären.
2ad8ef431e2d.mp3	Zusätzlich haben Sie zunehmende Schwäche und Atemnot bei Belastung.
2c5b091b4025.mp3	Ist Sodbrennen vielleicht der Grund für meine Beschwerden?
2c707542967f.mp3	Sie berichten über leichte, ziehende Schmerzen in der rechten Flanke.
2cdfeaad311d.mp3	Zusätzlich haben Sie Kopfschmerzen, Müdigkeit sowie einen deutlich verminderten Geruchs- und Geschmackssinn.
2de26f1fc18d.mp3	Ja, Ihre Beschwerden könnten auch zu einer Depression passen.
2df89b9a9dd2.mp3	Muss ich mich krankmelden oder könnte ich auch weiterarbeiten?
2e302bcc75a6.mp3	Wie lange halten die Brustschmerzen an?
2e78b6353d1d.mp3	Begleitend haben Sie Belastungsatemnot, jedoch keine Beschwerden in Ruhe.
2f5ecce31cea.mp3	Haben Sie Atemnot oder starke Benommenheit bemerkt?
2fa4ccb6178d.mp3	Da sie bei Ihnen besonders stark ist, sollten wir sie genauer abklären.
32560504f94c.mp3	Kann das eine Magenblutung sein?
32bcfbe68c07.mp3	Gibt es spezielle Tests, die man machen sollte?
33e5dc7b033d.mp3	Zunächst würde ich Sie körperlich und neurologisch untersuchen.
34106aba073f.mp3	Blut im Stuhl sollte genauer abgeklärt werden.
355b4aaac62f.mp3	Ist das betroffene Bein kalt oder blass?
36ad97a098a3.mp3	Sind die Schmerzen dauerhaft oder treten sie anfallsweise auf?
38a9a5fada90.mp3	Kann es sein, dass ich Migräne habe? Wie kann man das genau feststellen?
3a82b945900e.mp3	Haben Sie Kribbeln, Taubheitsgefühle oder einen Kraftverlust bemerkt?
3b36e26e397a.mp3	Brauche ich eine Röntgenuntersuchung der Lunge?
3bc0932052f3.mp3	Bis wir wissen, was genau verletzt ist, sollten Sie den Arm zunächst schonen und starke Bewegungen vermeiden.
3bc4c2a2c169.mp3	Vielen Dank für die Informationen.
3c25d6d17026.mp3	Sind bei Ihnen Allergien oder Unverträglichkeiten bekannt?
3c4a862ddfda.mp3	Sie berichten über Schmerzen im linken Unterbauch.
3e0839994c55.mp3	Ob eine Bandage oder Schiene sinnvoll ist, entscheiden wir erst nach der Untersuchung.
3eaea6923770.mp3	Besteht die Gefahr, dass etwas gebrochen ist?
3f1a29974cdd.mp3	Welche Medikamente nehmen Sie regelmäßig oder bei Bedarf ein?
4022f43a037a.mp3	Sicher sagen können wir das aber erst nach der Untersuchung und einer Lungenfunktionsprüfung.
40b26bfd5596.mp3	Strahlen die Schmerzen irgendwohin aus?
4132a97cfadc.mp3	Wie alt sind Sie beziehungsweise wann sind Sie geboren?
418f7e0024f9.mp3	Zunächst würde ich Ihr Knie untersuchen.
41923c958603.mp3	Wenn wir die Diagnose haben, können wir die passende Behandlung festlegen.
4316eedcf70a.mp3	Verschlucken Sie sich beim Essen oder Trinken?
434cb6d03ac2.mp3	Hatten Sie solche Beschwerden früher schon einmal?
442913ac2a41.mp3	Es kann verschiedene Ursachen haben, deshalb sind weitere Untersuchungen notwendig.
4457592ce465.mp3	Bei Ihren Beschwerden kann ein Test sinnvoll sein.
44d4a5cda60e.mp3	Das hängt von den aktuell geltenden Regelungen und gegebenenfalls von Ihrem Arbeitsplatz ab.
45946ec341bd.mp3	Zusätzlich haben Sie Konzentrationsprobleme, Schlafstörungen und innere Unruhe.
45e2f551499c.mp3	Das lässt sich mit einer einzelnen Untersuchung nicht sicher ausschließen.
46587f8ae2a8.mp3	Gibt es Möglichkeiten, um die Kopfschmerzattacken seltener auftreten zu lassen?
4689bf909956.mp3	Können Stress oder meine Ernährung solche Symptome hervorrufen?
46dd59e90426.mp3	eine Darmspiegelung
46ed4d5aade2.mp3	Ist es normal, in meinem Alter plötzlich so müde und schwach zu sein?
473699dbc1d5.mp3	Ist die Stelle sichtbar verformt?
4795780a5dc1.mp3	Könnte das auch eine Depression sein?
494a0c2cba87.mp3	Begleitend bestehen leichtes Fieber, Übelkeit, Appetitlosigkeit und wechselnder Stuhlgang.
494a75ea1d9a.mp3	Darf ich mich denn überhaupt noch belasten oder ist Sport jetzt gefährlich für mich?
49dafc2136a3.mp3	Haben Sie Kinder?
4a6cb3b08e8a.mp3	Die Beschwerden bestehen seit vier Monaten und haben zuletzt zugenommen.
4a77f3327484.mp3	Könnte das etwas Ernstes sein?
4af9d95d866f.mp3	Muss ich zum Röntgen oder MRT?
4b2cc0b9be93.mp3	Die Schulter ist leicht geschwollen und deutlich in der Bewegung eingeschränkt.
4b4f8aa8f852.mp3	Solange Sie Fieber haben oder sich deutlich krank fühlen, sollten Sie auf Sport verzichten.
4b8f25a87b7c.mp3	Sind die Kopfschmerzen einseitig oder beidseitig?
4bfccf53fdac.mp3	Sie berichten über diffuse Bauchschmerzen, vor allem im Oberbauch.
4c7d73b85d5a.mp3	Könnte das auch vom Rücken kommen? Ich sitze viel am Schreibtisch.
4c94693b9975.mp3	Ja, Ihre Beschwerden könnten zu einer Ausrenkung der Schulter passen.
4d9653b1fbf5.mp3	Warum bin ich ständig müde, obwohl ich ausreichend schlafe?
4d96e76d22e5.mp3	Muss ich wegen der Beschwerden mit dem Rauchen aufhören?
4e861a9b6a74.mp3	Seit wann bestehen die Beschwerden?
4ed02d979a35.mp3	Dafür sind die genaue Art des Schwindels und mögliche Begleitbeschwerden wichtig.
4f4e410d3404.mp3	Eine vollständige Bettruhe ist normalerweise nicht sinnvoll.
509e5eec743f.mp3	Nach den weiteren Untersuchungen können wir das besser einschätzen.
52a99186bdbf.mp3	Wie groß und wie schwer sind Sie?
5364afcc8763.mp3	Dann würde ich Ihnen jetzt gerne einige Fragen zu Ihrer medizinischen Vorgeschichte stellen.
538287263edb.mp3	Fieber, Erbrechen, Blut im Stuhl oder Gewichtsverlust bestehen nicht.
540ec33f96cd.mp3	Haben Sie dazu noch Fragen?
5419d84c546e.mp3	Fieber, Übelkeit, Erbrechen oder Blut im Urin bestehen nicht.
546df65e4efb.mp3	Glauben Sie, dass ich Covid-19 haben könnte?
54ad338bb225.mp3	eine MRT-Untersuchung
555f8fc2c3c3.mp3	Sollte ich das Knie bandagieren oder lieber ruhig halten?
55e30dfa822b.mp3	Soll ich jetzt viel trinken oder eher vorsichtig sein?
5719fe811574.mp3	Unabhängig von der endgültigen Diagnose wäre es sinnvoll, mit dem Rauchen aufzuhören.
57cd2f133098.mp3	Ja, dafür gibt es verschiedene Möglichkeiten.
58235183be2f.mp3	Mit einer Blutuntersuchung können wir manche Ursachen erkennen, aber nicht jede Ursache von Schwindel.
5863322b9eef.mp3	Sind die Schmerzen eher dumpf, stechend, brennend oder krampfartig?
587bcc23a620.mp3	Danach entscheiden wir, ob ein Röntgenbild oder ein MRT notwendig ist.
591c7a5564fa.mp3	Die Beschwerden bestehen seit drei Tagen, nehmen zu und strahlen teilweise in den Rücken aus.
596614291f97.mp3	Können Sie den betroffenen Arm noch bewegen und belasten?
5a0af23f59f2.mp3	Kommt das vom Ibuprofen?
5b10b1e049e5.mp3	Sie berichten über zunehmende Erschöpfung seit drei Monaten.
5b282212a303.mp3	Haben die Beschwerden plötzlich oder allmählich begonnen?
5b3efa0f4ad6.mp3	eine Urinprobe untersuchen
5c472de83654.mp3	Gibt es etwas, was ich bei der Ernährung unbedingt vermeiden sollte?
5c7da407988f.mp3	Danach können wir besser einschätzen, welche Belastung sinnvoll ist.
5d4f8f025fab.mp3	Gibt es jemanden, der Sie bei Bedarf unterstützen kann?
5e442355244c.mp3	Kann ich weiterhin Auto fahren und zur Arbeit gehen?
5ecaa0a6b94e.mp3	Zusätzlich treten nächtliche Hustenanfälle und gelegentliche Belastungsatemnot auf.
5f01b99e3958.mp3	Wurden Sie schon einmal operiert?
5fa7009b2c59.mp3	Können Sie flach liegen, oder wachen Sie nachts wegen Luftnot auf?
5fed0bc5ee76.mp3	Haben Sie Seh-, Gefühls- oder Sprachstörungen bemerkt?
6040bae20b72.mp3	Wie zuverlässig das Ergebnis ist, hängt von der Testmethode und vom Zeitpunkt der Testung ab.
604b3c6ab1aa.mp3	Haben Sie noch weitere Beschwerden oder etwas anderes Wichtiges bemerkt?
608c4e91b487.mp3	Sicher sagen können wir das aber erst nach der Untersuchung und einem Röntgenbild.
614d20f60bc9.mp3	Ja, Ihre Beschwerden könnten zu einer Blutung im oberen Verdauungstrakt passen.
61c8cc2366ad.mp3	Damit sind wir mit den Fragen durch.
61ee961d3deb.mp3	Sie berichten über starke Erschöpfung seit fünf bis sechs Tagen.
622dcce9c427.mp3	Taubheitsgefühl, Fieber oder sichtbare Blutergüsse bestehen nicht.
6248495402a9.mp3	Sind Sie sicher, dass das kein Krebs ist?
628899b1c423.mp3	Haben Sie Doppelbilder, Lähmungen oder eine Bewusstseinsstörung bemerkt?
63b33a6e91f4.mp3	Sollte ich ein MRT vom Kopf machen lassen?
63e93b2a94bf.mp3	eine Ultraschalluntersuchung
648851b18935.mp3	Habe ich das so richtig verstanden, oder möchten Sie noch etwas ergänzen oder korrigieren?
6498daebbe19.mp3	Blut abnehmen
660bb2f6cfd2.mp3	Zusätzlich haben Sie Kribbeln und ein Schwächegefühl im rechten Bein. Eine Stuhl- oder Harninkontinenz besteht nicht.
66880aba08e7.mp3	In Ruhe verschwinden sie nach wenigen Minuten.
676e89ad044e.mp3	Haben Sie Fieber gemessen, und wie hoch war die Temperatur?
688933ad69b4.mp3	Wie lautet Ihr vollständiger Name?
6a4f67189e1a.mp3	Haben Sie Schwellungen an den Beinen bemerkt?
6b9d6408b673.mp3	Wenn wir die Diagnose haben, können wir das besser einschätzen.
6c88ef3f94e9.mp3	Ist der betroffene Arm kalt oder blass?
6cd490c24c71.mp3	Seit wann besteht die Erkrankung, und wie wird sie behandelt?
6d3c435d377b.mp3	Ibuprofen kann die Magenschleimhaut schädigen und Blutungen begünstigen, die genaue Ursache müssen wir aber noch abklären.
6d48f4ab8aee.mp3	Brauche ich ein Spray für den Notfall?
6d67ef82deee.mp3	Die Beschwerden bestehen seit einer Verdrehung beim Badminton.
6d6b8eb350e4.mp3	Muss ich mit einer Operation rechnen?
6f4ea6329262.mp3	Zunächst würde ich Sie körperlich untersuchen und ein EKG schreiben.
6f6995b11504.mp3	Wird der Schwindel durch Aufstehen oder Kopfbewegungen ausgelöst?
714b539728d4.mp3	Können Sie Ihren Speichel normal schlucken?
71ddb8fe0fa4.mp3	Sie berichten über Druck und Enge hinter dem Brustbein.
71e318eb521b.mp3	Trinken Sie Alkohol?
720f438cecff.mp3	Guten Tag. Mein Name ist Temiz und ich bin Allgemeinarzt.
723205ee69ce.mp3	Zunächst waren nur feste Speisen betroffen, inzwischen auch Flüssigkeiten.
7239660bd7aa.mp3	Könnte das mit dem Rauchen zusammenhängen? Sollte ich jetzt mit dem Rauchen aufhören?
72883a8c1335.mp3	Wann Sie wieder Sport machen können, hängt vom Verlauf und vom Befund ab.
72bfc047a6ea.mp3	Welche Untersuchungen sind notwendig, um die Ursache festzustellen?
73b481a26365.mp3	Muss ich meine Meerschweinchen abgeben?
742bd0d8177e.mp3	Soll ich den Arm lieber ruhigstellen oder bewegen?
75d308e258f9.mp3	Sind in Ihrer Familie bestimmte Erkrankungen bekannt?
75db28ab05ae.mp3	Bei Ihren aktuellen Beschwerden ist eine Krankschreibung zunächst sinnvoll.
76ea142d53b2.mp3	Wie häufig und wie viel?
76f5a5e22ccd.mp3	Haben Sie Blut erbrochen oder ungewollt Gewicht verloren?
790839bd5f82.mp3	Die Attacken treten seit drei Monaten etwa zweimal im Monat auf und dauern vier bis 24 Stunden.
7924a5216824.mp3	Ob eine Überweisung notwendig ist, können wir erst nach der Untersuchung besser einschätzen.
7954827bceb2.mp3	Ja, Ihre Beschwerden könnten zu Asthma passen.
7be1b981c450.mp3	Ob eine Operation notwendig ist, können wir erst nach der Untersuchung und Bildgebung besser einschätzen.
7bfa4aae168b.mp3	Haben Sie Blut erbrochen, schwarzen Stuhl oder frisches Blut im Stuhl bemerkt?
7d77b399bb16.mp3	Rauchen Sie Frau Müller?
7db3ae82500b.mp3	Wie gefährlich ist es, wenn mein Bein manchmal kribbelt?
7e9a8f3f7690.mp3	Was kann ich tun, um wieder leistungsfähiger zu werden?
7f50a9608e88.mp3	Je nach Befund können weitere Untersuchungen, zum Beispiel eine Darmspiegelung, notwendig sein.
7f546070e4a4.mp3	Erschöpfung kann bei einem Infekt unterschiedlich stark ausgeprägt sein.
81b36e979248.mp3	Hat sich der Harnstrahl verändert?
82bc94832807.mp3	Kann das wirklich Asthma sein?
82c212c47520.mp3	Seit vier Wochen haben Sie außerdem Blut im Auswurf.
82c247496271.mp3	Muss ich eventuell operiert werden, oder geht das von allein weg?
835b7a24601f.mp3	Sollte ich vielleicht doch eine Darmspiegelung machen lassen?
83aa59e8de43.mp3	Blut im Auswurf sollte genauer abgeklärt werden.
84006a702379.mp3	Zusätzlich würde ich Sie körperlich und neurologisch untersuchen.
843c5f8d83ca.mp3	Mit einer Blutuntersuchung können wir zum Beispiel prüfen, ob eine Blutarmut vorliegt.
843e8fdb645d.mp3	Was könnten diese Bauchschmerzen verursachen?
844a4c00af76.mp3	Nach der Untersuchung kann ich Ihnen genauer sagen, wie viel Sie trinken sollten.
84c6e7f315c1.mp3	Haben Sie Durchfall oder Verstopfung?
84dd744bda33.mp3	Besteht aktuell die Möglichkeit einer Schwangerschaft?
8508dff6fadd.mp3	Die Beschwerden treten besonders beim Aufstehen, Gehen und Drehen des Kopfes auf.
868b5e7e87c8.mp3	Muss ich in Quarantäne, wenn ich positiv bin?
8713c669c46b.mp3	Könnten meine Beschwerden etwas mit der alten Dengue-Infektion zu tun haben?
873de1cb0bff.mp3	Heute haben Sie zweimal erbrochen. Zuletzt waren vermutlich kaffeesatzartige Beimengungen vorhanden.
8844d74c5f30.mp3	Ist die Stelle geschwollen, gerötet oder überwärmt?
8a0c84d3ae68.mp3	Bin ich arbeitsfähig oder sollte ich mich krankschreiben lassen?
8a3d6e52e531.mp3	Sind die Beschwerden seitdem besser, schlimmer oder gleich geblieben?
8a8153da5408.mp3	Kann da etwas gebrochen sein?
8aff1478bbcf.mp3	Brauche ich eine spezielle Untersuchung, z. B. Ultraschall?
8ce25de055d6.mp3	Bin ich ansteckend?
8d2e617e727e.mp3	Die Beschwerden bestehen seit vier Tagen, nehmen zu und sind dauerhaft vorhanden.
8d30ff9c8482.mp3	Ja, Ihre Beschwerden könnten zu einer stressbedingten Erschöpfung passen.
8e4cb03b0bc2.mp3	eine Stuhlprobe untersuchen
8efc636d5ea4.mp3	Welche Untersuchungen kommen jetzt auf mich zu?
8f26f369bca2.mp3	Kann der aktuelle Infekt mit meiner früheren Dengue-Erkrankung zusammenhängen?
8f6f4322c87d.mp3	Wie lange dauert es, bis ich wieder Sport machen kann?
9050435a1eaa.mp3	eine Ultraschalluntersuchung durchführen
90894f4278db.mp3	Wie es bei Ihnen verläuft, können wir im weiteren Verlauf besser einschätzen.
932cb797e3e0.mp3	Gewichtsverlust, Nachtschweiß oder blutiger Auswurf bestehen nicht.
93c6eb310c48.mp3	Kann das von den Nieren kommen?
94564984583f.mp3	Welche Zehen sind von den Beschwerden betroffen?
94e95af5a14c.mp3	Das Knie ist deutlich geschwollen, instabil und kaum belastbar.
95bc4f11a674.mp3	Wie schlafen Sie, und fühlen Sie sich nach dem Schlaf erholt?
96369f019afa.mp3	Haben Sie Husten, Halsschmerzen oder Schnupfen?
97d918345786.mp3	Muss ich jetzt dringend ins Krankenhaus?
9a590cf13ce2.mp3	Um herauszufinden, was genau bei Ihnen vorliegt, werde ich Sie nun körperlich untersuchen.
9a8e609a8ace.mp3	Ja, bei Ihren Beschwerden ist eine Darmspiegelung sinnvoll.
9adf23e1f8ae.mp3	Sie berichten über Husten und Brustenge seit drei Monaten.
9b3ec0ad8afb.mp3	Kann es Krebs sein?
9b5f680df895.mp3	Ist Ihnen übel, oder mussten Sie erbrechen?
9b77344f6b1c.mp3	Sollte man meine Belastbarkeit oder das Immunsystem genauer untersuchen?
9b7e22dd6a10.mp3	Ja, Ihre Beschwerden könnten zu einem Knochenbruch passen.
9c9f83b91a6e.mp3	Wie sich die Beschwerden entwickeln, hängt von der genauen Ursache und vom Befund ab.
9cb3467614ee.mp3	Muss ich ins Krankenhaus oder reicht eine Untersuchung in der Praxis aus?
9d18b8fc399d.mp3	Warum bin ich diesmal so extrem erschöpft, obwohl es nur ein Infekt ist?
9d42b2b4c5f1.mp3	Ja, Ihre Beschwerden könnten von einer Herzerkrankung kommen.
9d4c3e264fff.mp3	Ich würde jetzt noch einmal einige Punkte genauer durchgehen, damit uns keine wichtigen Details entgehen.
9f3117cc5dbe.mp3	Handelt es sich eher um Dreh- oder Schwankschwindel?
9f701beb9fc4.mp3	Das hängt vom Befund ab.
9fc51b0ed701.mp3	Solange Sie Ihr Bein nicht sicher kontrollieren können, sollten Sie zunächst nicht Auto fahren.
a0325d40c922.mp3	Sicher sagen können wir das aber erst nach der Untersuchung und gegebenenfalls weiteren Untersuchungen.
a04d62c4649f.mp3	Haben Sie etwas gegen die Beschwerden eingenommen oder unternommen?
a0b4d60e5469.mp3	Könnten meine Beschwerden etwas mit meiner Ernährung zu tun haben?
a1e0fe7d45eb.mp3	ein Röntgenbild
a1eaaaafa4d1.mp3	Haben Sie Herzrasen oder Herzstolpern bemerkt?
a27552d97c18.mp3	Zusätzlich bestehen Schmerzen hinter dem Brustbein, Hochkommen von Nahrung und Husten beim Essen.
a3e643841cc0.mp3	Ist meine Schulter ausgekugelt?
a43be8692d78.mp3	Zusätzlich haben Sie häufigeren Harndrang, Brennen beim Wasserlassen und einen schwachen Harnstrahl.
a65fb31eb346.mp3	Gibt es eine Untersuchung, mit der man genau herausfinden kann, was da los ist?
a68161f8fe9a.mp3	Zunächst würde ich Ihre Lunge untersuchen und eine Lungenfunktionsprüfung durchführen.
a707e6f27e38.mp3	Sollte ich zu einem Neurologen gehen?
a72bc37374bc.mp3	Ihre Beschwerden können verschiedene Ursachen haben, deshalb sollten wir sie genauer untersuchen.
a7cc7189ab48.mp3	Wie lange dauert es, bis ich mich wieder besser fühle?
a80e7df80e4e.mp3	Haben Sie Blut im Urin bemerkt?
a89617cdc6a5.mp3	Damit können wir den Darm direkt beurteilen und bei Bedarf Gewebeproben entnehmen.
a97b56c57464.mp3	Ob ein Zusammenhang besteht, können wir erst nach der weiteren Abklärung besser einschätzen.
a98b241adf76.mp3	Fühlen Sie sich häufig niedergeschlagen?
aa8dec9262e8.mp3	Muss man das operieren oder geht es auch ohne OP?
aa99f0b7dff4.mp3	Wie lange könnte es dauern, bis ich wieder fitter bin und weniger Atemprobleme habe?
ab93d3adbb7c.mp3	Sie berichten über trockenen Husten und Brustenge seit mehreren Wochen.
ab972c9e739c.mp3	Wann darf ich wieder joggen gehen?
ac3b1e1f581f.mp3	Danach können wir besser einschätzen, wie viel Bewegung sinnvoll ist.
ac75f1e6ee61.mp3	Was verstärkt oder lindert die Schmerzen?
acdd69ef965b.mp3	Die Beschwerden bestehen seit vier Tagen und nehmen zu.
acf858029ec6.mp3	Muss ich mir Sorgen machen, dass sich das verschlimmert?
ad2de78f480e.mp3	Eine neu aufgetretene ausgeprägte Müdigkeit sollte abgeklärt werden.
adca5bbb2776.mp3	Kennen Sie die Dosierung?
add8a2b467e4.mp3	Die Beschwerden bestehen seit dem Heben eines schweren Gegenstands vor zwei Wochen.
af665168e4f5.mp3	Sollte ich mir Sorgen wegen des Blutes im Auswurf machen?
afb9b37f185b.mp3	Wann sollte ich mich wieder vorstellen, falls es nicht besser wird?
b061da502828.mp3	Wo genau spüren Sie die Schmerzen?
b0d4847c49c3.mp3	Ja.
b10abefbd625.mp3	Deshalb würde ich die Kraft, das Gefühl und die Reflexe in Ihrem Bein untersuchen.
b2db43ff1e67.mp3	Die Beschwerden treten seit drei Monaten wiederholt bei körperlicher Belastung auf.
b34593b74afe.mp3	Ist Ihr Bauch ungewöhnlich hart oder druckempfindlich?
b394cea15ecc.mp3	Soll ich für die nächsten Tage krankgeschrieben werden?
b426cbe17e85.mp3	Bevor ich weitere Fragen stelle, möchte ich kurz zusammenfassen, was ich bisher verstanden habe.
b444d60b2ac6.mp3	Bis wir die Ursache der Beschwerden geklärt haben, sollten Sie starke körperliche Belastungen vermeiden.
b4a60731e953.mp3	Blut im Stuhl oder Erbrechen bestehen nicht.
b554323e7a94.mp3	Das ist möglich, aber das können wir im Moment noch nicht sicher sagen.
b6cb4c264aad.mp3	Welche Untersuchungen werden durchgeführt?
b6ec7b697521.mp3	Sie berichten über zunehmende Schluckbeschwerden seit sechs Wochen.
b7105c3e6f42.mp3	Sind Sie licht- oder geräuschempfindlich?
b8005e8a5e2b.mp3	Wie stark beeinträchtigt Sie die Erschöpfung im Alltag?
b85c8280f56b.mp3	Sie sollten in Bewegung bleiben, soweit es die Schmerzen zulassen.
ba215a2a401b.mp3	Hatten Sie Kontakt zu erkrankten Personen?
