key	start_s	end_s	text
494a75ea1d9a	503.592	508.848	Darf ich mich denn überhaupt noch belasten oder ist Sport jetzt gefährlich für mich?
49dafc2136a3	508.848	510.312	Haben Sie Kinder?
4a6cb3b08e8a	510.312	515.136	Die Beschwerden bestehen seit vier Monaten und haben zuletzt zugenommen.
4a77f3327484	515.136	517.488	Könnte das etwas Ernstes sein?
4af9d95d866f	517.488	520.128	Muss ich zum Röntgen oder MRT?
4b2cc0b9be93	520.128	524.808	Die Schulter ist leicht geschwollen und deutlich in der Bewegung eingeschränkt.
4b4f8aa8f852	524.808	530.616	Solange Sie Fieber haben oder sich deutlich krank fühlen, sollten Sie auf Sport verzichten.
4b8f25a87b7c	530.616	534.144	Sind die Kopfschmerzen einseitig oder beidseitig?
4bfccf53fdac	534.144	538.32	Sie berichten über diffuse Bauchschmerzen, vor allem im Oberbauch.
4c7d73b85d5a	538.32	542.76	Könnte das auch vom Rücken kommen? Ich sitze viel am Schreibtisch.
4c94693b9975	542.76	547.392	Ja, Ihre Beschwerden könnten zu einer Ausrenkung der Schulter passen.
4d9653b1fbf5	547.392	551.616	Warum bin ich ständig müde, obwohl ich ausreichend schlafe?
4d96e76d22e5	551.616	555.336	Muss ich wegen der Beschwerden mit dem Rauchen aufhören?
4e861a9b6a74	555.336	557.688	Seit wann bestehen die Beschwerden?
4ed02d979a35	557.688	562.824	Dafür sind die genaue Art des Schwindels und mögliche Begleitbeschwerden wichtig.
4f4e410d3404	562.824	566.304	Eine vollständige Bettruhe ist normalerweise nicht sinnvoll.
509e5eec743f	566.304	570.408	Nach den weiteren Untersuchungen können wir das besser einschätzen.
52a99186bdbf	570.408	572.808	Wie groß und wie schwer sind Sie?
5364afcc8763	572.808	578.208	Dann würde ich Ihnen jetzt gerne einige Fragen zu Ihrer medizinischen Vorgeschichte stellen.
538287263edb	578.208	582.936	Fieber, Erbrechen, Blut im Stuhl oder Gewichtsverlust bestehen nicht.
540ec33f96cd	582.936	585.384	Haben Sie dazu noch Fragen?
5419d84c546e	585.384	589.68	Fieber, Übelkeit, Erbrechen oder Blut im Urin bestehen nicht.
546df65e4efb	589.68	593.112	Glauben Sie, dass ich Covid-19 haben könnte?
54ad338bb225	593.112	595.032	eine MRT-Untersuchung
555f8fc2c3c3	595.032	598.584	Sollte ich das Knie bandagieren oder lieber ruhig halten?
55e30dfa822b	598.584	602.376	Soll ich jetzt viel trinken oder eher vorsichtig sein?
5719fe811574	602.376	608.232	Unabhängig von der endgültigen Diagnose wäre es sinnvoll, mit dem Rauchen aufzuhören.
57cd2f133098	608.232	611.616	Ja, dafür gibt es verschiedene Möglichkeiten.
58235183be2f	611.616	617.664	Mit einer Blutuntersuchung können wir manche Ursachen erkennen, aber nicht jede Ursache von Schwindel.
5863322b9eef	617.664	622.368	Sind die Schmerzen eher dumpf, stechend, brennend oder krampfartig?
587bcc23a620	622.368	627.168	Danach entscheiden wir, ob ein Röntgenbild oder ein MRT notwendig ist.
591c7a5564fa	627.168	633.312	Die Beschwerden bestehen seit drei Tagen, nehmen zu und strahlen teilweise in den Rücken aus.
596614291f97	633.312	636.936	Können Sie den betroffenen Arm noch bewegen und belasten?
5a0af23f59f2	636.936	639.0	Kommt das vom Ibuprofen?
5b10b1e049e5	639.0	642.888	Sie berichten über zunehmende Erschöpfung seit drei Monaten.
5b282212a303	642.888	646.392	Haben die Beschwerden plötzlich oder allmählich begonnen?
5b3efa0f4ad6	646.392	648.48	eine Urinprobe untersuchen
5c472de83654	648.48	652.968	Gibt es etwas, was ich bei der Ernährung unbedingt vermeiden sollte?
5c7da407988f	652.968	657.096	Danach können wir besser einschätzen, welche Belastung sinnvoll ist.
5d4f8f025fab	657.096	660.768	Gibt es jemanden, der Sie bei Bedarf unterstützen kann?
5e442355244c	660.768	664.464	Kann ich weiterhin Auto fahren und zur Arbeit gehen?
5ecaa0a6b94e	664.464	669.936	Zusätzlich treten nächtliche Hustenanfälle und gelegentliche Belastungsatemnot auf.
5f01b99e3958	669.936	672.48	Wurden Sie schon einmal operiert?
5fa7009b2c59	672.48	676.824	Können Sie flach liegen, oder wachen Sie nachts wegen Luftnot auf?
5fed0bc5ee76	676.824	680.856	Haben Sie Seh-, Gefühls- oder Sprachstörungen bemerkt?
6040bae20b72	680.856	687.192	Wie zuverlässig das Ergebnis ist, hängt von der Testmethode und vom Zeitpunkt der Testung ab.
604b3c6ab1aa	687.192	692.232	Haben Sie noch weitere Beschwerden oder etwas anderes Wichtiges bemerkt?
608c4e91b487	692.232	697.56	Sicher sagen können wir das aber erst nach der Untersuchung und einem Röntgenbild.
614d20f60bc9	697.56	702.792	Ja, Ihre Beschwerden könnten zu einer Blutung im oberen Verdauungstrakt passen.
61c8cc2366ad	702.792	705.48	Damit sind wir mit den Fragen durch.
61ee961d3deb	705.48	709.8	Sie berichten über starke Erschöpfung seit fünf bis sechs Tagen.
622dcce9c427	709.8	714.24	Taubheitsgefühl, Fieber oder sichtbare Blutergüsse bestehen nicht.
6248495402a9	714.24	717.24	Sind Sie sicher, dass das kein Krebs ist?
628899b1c423	717.24	721.752	Haben Sie Doppelbilder, Lähmungen oder eine Bewusstseinsstörung bemerkt?
63b33a6e91f4	721.752	724.848	Sollte ich ein MRT vom Kopf machen lassen?
63e93b2a94bf	724.848	726.72	eine Ultraschalluntersuchung
648851b18935	726.72	732.648	Habe ich das so richtig verstanden, oder möchten Sie noch etwas ergänzen oder korrigieren?
6498daebbe19	732.648	733.992	Blut abnehmen
660bb2f6cfd2	733.992	741.672	Zusätzlich haben Sie Kribbeln und ein Schwächegefühl im rechten Bein. Eine Stuhl- oder Harninkontinenz besteht nicht.
66880aba08e7	741.672	744.672	In Ruhe verschwinden sie nach wenigen Minuten.
676e89ad044e	744.672	748.56	Haben Sie Fieber gemessen, und wie hoch war die Temperatur?
688933ad69b4	748.56	750.888	Wie lautet Ihr vollständiger Name?
6a4f67189e1a	750.888	753.672	Haben Sie Schwellungen an den Beinen bemerkt?
6b9d6408b673	753.672	757.8	Wenn wir die Diagnose haben, können wir das besser einschätzen.
6c88ef3f94e9	757.8	760.488	Ist der betroffene Arm kalt oder blass?
6cd490c24c71	760.488	764.424	Seit wann besteht die Erkrankung, und wie wird sie behandelt?
6d3c435d377b	764.424	772.152	Ibuprofen kann die Magenschleimhaut schädigen und Blutungen begünstigen, die genaue Ursache müssen wir aber noch abklären.
6d48f4ab8aee	772.152	774.768	Brauche ich ein Spray für den Notfall?
6d67ef82deee	774.768	778.416	Die Beschwerden bestehen seit einer Verdrehung beim Badminton.
6d6b8eb350e4	778.416	781.08	Muss ich mit einer Operation rechnen?
6f4ea6329262	781.08	785.688	Zunächst würde ich Sie körperlich untersuchen und ein EKG schreiben.
6f6995b11504	785.688	789.912	Wird der Schwindel durch Aufstehen oder Kopfbewegungen ausgelöst?
714b539728d4	789.912	792.6	Können Sie Ihren Speichel normal schlucken?
71ddb8fe0fa4	792.6	795.96	Sie berichten über Druck und Enge hinter dem Brustbein.
71e318eb521b	795.96	797.784	Trinken Sie Alkohol?
720f438cecff	797.784	802.128	Guten Tag. Mein Name ist Temiz und ich bin Allgemeinarzt.
723205ee69ce	802.128	807.216	Zunächst waren nur feste Speisen betroffen, inzwischen auch Flüssigkeiten.
7239660bd7aa	807.216	813.0	Könnte das mit dem Rauchen zusammenhängen? Sollte ich jetzt mit dem Rauchen aufhören?
72883a8c1335	813.0	818.04	Wann Sie wieder Sport machen können, hängt vom Verlauf und vom Befund ab.
72bfc047a6ea	818.04	822.6	Welche Untersuchungen sind notwendig, um die Ursache festzustellen?
73b481a26365	822.6	825.024	Muss ich meine Meerschweinchen abgeben?
742bd0d8177e	825.024	828.264	Soll ich den Arm lieber ruhigstellen oder bewegen?
75d308e258f9	828.264	831.528	Sind in Ihrer Familie bestimmte Erkrankungen bekannt?
75db28ab05ae	831.528	835.944	Bei Ihren aktuellen Beschwerden ist eine Krankschreibung zunächst sinnvoll.
76ea142d53b2	835.944	837.984	Wie häufig und wie viel?
76f5a5e22ccd	837.984	841.824	Haben Sie Blut erbrochen oder ungewollt Gewicht verloren?
790839bd5f82	841.824	849.24	Die Attacken treten seit drei Monaten etwa zweimal im Monat auf und dauern vier bis 24 Stunden.
7924a5216824	849.24	854.928	Ob eine Überweisung notwendig ist, können wir erst nach der Untersuchung besser einschätzen.
7954827bceb2	854.928	858.36	Ja, Ihre Beschwerden könnten zu Asthma passen.
7be1b981c450	858.36	865.272	Ob eine Operation notwendig ist, können wir erst nach der Untersuchung und Bildgebung besser einschätzen.
7bfa4aae168b	865.272	870.6	Haben Sie Blut erbrochen, schwarzen Stuhl oder frisches Blut im Stuhl bemerkt?
7d77b399bb16	870.6	872.352	Rauchen Sie Frau Müller?
7db3ae82500b	872.352	875.856	Wie gefährlich ist es, wenn mein Bein manchmal kribbelt?
7e9a8f3f7690	875.856	879.672	Was kann ich tun, um wieder leistungsfähiger zu werden?
7f50a9608e88	879.672	885.816	Je nach Befund können weitere Untersuchungen, zum Beispiel eine Darmspiegelung, notwendig sein.
7f546070e4a4	885.816	890.28	Erschöpfung kann bei einem Infekt unterschiedlich stark ausgeprägt sein.
81b36e979248	890.28	892.584	Hat sich der Harnstrahl verändert?
82bc94832807	892.584	894.696	Kann das wirklich Asthma sein?
82c212c47520	894.696	898.392	Seit vier Wochen haben Sie außerdem Blut im Auswurf.
82c247496271	898.392	903.0	Muss ich eventuell operiert werden, oder geht das von allein weg?
835b7a24601f	903.0	906.48	Sollte ich vielleicht doch eine Darmspiegelung machen lassen?
83aa59e8de43	906.48	909.888	Blut im Auswurf sollte genauer abgeklärt werden.
84006a702379	909.888	914.088	Zusätzlich würde ich Sie körperlich und neurologisch untersuchen.
843c5f8d83ca	914.088	919.776	Mit einer Blutuntersuchung können wir zum Beispiel prüfen, ob eine Blutarmut vorliegt.
843e8fdb645d	919.776	922.752	Was könnten diese Bauchschmerzen verursachen?
844a4c00af76	922.752	927.744	Nach der Untersuchung kann ich Ihnen genauer sagen, wie viel Sie trinken sollten.
84c6e7f315c1	927.744	930.36	Haben Sie Durchfall oder Verstopfung?
84dd744bda33	930.36	933.648	Besteht aktuell die Möglichkeit einer Schwangerschaft?
8508dff6fadd	933.648	939.048	Die Beschwerden treten besonders beim Aufstehen, Gehen und Drehen des Kopfes auf.
868b5e7e87c8	939.048	942.384	Muss ich in Quarantäne, wenn ich positiv bin?
8713c669c46b	942.384	947.808	Könnten meine Beschwerden etwas mit der alten Dengue-Infektion zu tun haben?
873de1cb0bff	947.808	954.504	Heute haben Sie zweimal erbrochen. Zuletzt waren vermutlich kaffeesatzartige Beimengungen vorhanden.
8844d74c5f30	954.504	957.888	Ist die Stelle geschwollen, gerötet oder überwärmt?
8a0c84d3ae68	957.888	961.608	Bin ich arbeitsfähig oder sollte ich mich krankschreiben lassen?
8a3d6e52e531	961.608	965.64	Sind die Beschwerden seitdem besser, schlimmer oder gleich geblieben?
8a8153da5408	965.64	967.776	Kann da etwas gebrochen sein?
8aff1478bbcf	967.776	972.72	Brauche ich eine spezielle Untersuchung, z. B. Ultraschall?
8ce25de055d6	972.72	974.208	Bin ich ansteckend?
8d2e617e727e	974.208	979.704	Die Beschwerden bestehen seit vier Tagen, nehmen zu und sind dauerhaft vorhanden.
8d30ff9c8482	979.704	984.48	Ja, Ihre Beschwerden könnten zu einer stressbedingten Erschöpfung passen.
8e4cb03b0bc2	984.48	986.544	eine Stuhlprobe untersuchen
8efc636d5ea4	986.544	989.64	Welche Untersuchungen kommen jetzt auf mich zu?
8f26f369bca2	989.64	994.416	Kann der aktuelle Infekt mit meiner früheren Dengue-Erkrankung zusammenhängen?
8f6f4322c87d	994.416	997.824	Wie lange dauert es, bis ich wieder Sport machen kann?
9050435a1eaa	997.824	1000.344	eine Ultraschalluntersuchung durchführen
90894f4278db	1000.344	1005.216	Wie es bei Ihnen verläuft, können wir im weiteren Verlauf besser einschätzen.
932cb797e3e0	1005.216	1009.608	Gewichtsverlust, Nachtschweiß oder blutiger Auswurf bestehen nicht.
93c6eb310c48	1009.608	1011.792	Kann das von den Nieren kommen?
94564984583f	1011.792	1015.08	Welche Zehen sind von den Beschwerden betroffen?
94e95af5a14c	1015.08	1019.16	Das Knie ist deutlich geschwollen, instabil und kaum belastbar.
95bc4f11a674	1019.16	1023.216	Wie schlafen Sie, und fühlen Sie sich nach dem Schlaf erholt?
96369f019afa	1023.216	1026.528	Haben Sie Husten, Halsschmerzen oder Schnupfen?
97d918345786	1026.528	1029.24	Muss ich jetzt dringend ins Krankenhaus?
9a590cf13ce2	1029.24	1035.312	Um herauszufinden, was genau bei Ihnen vorliegt, werde ich Sie nun körperlich untersuchen.
9a8e609a8ace	1035.312	1039.104	Ja, bei Ihren Beschwerden ist eine Darmspiegelung sinnvoll.
9adf23e1f8ae	1039.104	1042.848	Sie berichten über Husten und Brustenge seit drei Monaten.
9b3ec0ad8afb	1042.848	1044.504	Kann es Krebs sein?
9b5f680df895	1044.504	1047.288	Ist Ihnen übel, oder mussten Sie erbrechen?
9b77344f6b1c	1047.288	1051.752	Sollte man meine Belastbarkeit oder das Immunsystem genauer untersuchen?
9b7e22dd6a10	1051.752	1055.688	Ja, Ihre Beschwerden könnten zu einem Knochenbruch passen.
9c9f83b91a6e	1055.688	1061.112	Wie sich die Beschwerden entwickeln, hängt von der genauen Ursache und vom Befund ab.
9cb3467614ee	1061.112	1065.888	Muss ich ins Krankenhaus oder reicht eine Untersuchung in der Praxis aus?
9d18b8fc399d	1065.888	1071.024	Warum bin ich diesmal so extrem erschöpft, obwohl es nur ein Infekt ist?
9d42b2b4c5f1	1071.024	1075.152	Ja, Ihre Beschwerden könnten von einer Herzerkrankung kommen.
9d4c3e264fff	1075.152	1081.848	Ich würde jetzt noch einmal einige Punkte genauer durchgehen, damit uns keine wichtigen Details entgehen.
9f3117cc5dbe	1081.848	1085.208	Handelt es sich eher um Dreh- oder Schwankschwindel?
9f701beb9fc4	1085.208	1087.128	Das hängt vom Befund ab.
9fc51b0ed701	1087.128	1092.912	Solange Sie Ihr Bein nicht sicher kontrollieren können, sollten Sie zunächst nicht Auto fahren.
a0325d40c922	1092.912	1099.44	Sicher sagen können wir das aber erst nach der Untersuchung und gegebenenfalls weiteren Untersuchungen.
a04d62c4649f	1099.44	1103.832	Haben Sie etwas gegen die Beschwerden eingenommen oder unternommen?
a0b4d60e5469	1103.832	1108.32	Könnten meine Beschwerden etwas mit meiner Ernährung zu tun haben?
a1e0fe7d45eb	1108.32	1109.688	ein Röntgenbild
a1eaaaafa4d1	1109.688	1113.192	Haben Sie Herzrasen oder Herzstolpern bemerkt?
a27552d97c18	1113.192	1119.552	Zusätzlich bestehen Schmerzen hinter dem Brustbein, Hochkommen von Nahrung und Husten beim Essen.
a3e643841cc0	1119.552	1121.832	Ist meine Schulter ausgekugelt?
a43be8692d78	1121.832	1127.88	Zusätzlich haben Sie häufigeren Harndrang, Brennen beim Wasserlassen und einen schwachen Harnstrahl.
a65fb31eb346	1127.88	1133.256	Gibt es eine Untersuchung, mit der man genau herausfinden kann, was da los ist?
a68161f8fe9a	1133.256	1138.704	Zunächst würde ich Ihre Lunge untersuchen und eine Lungenfunktionsprüfung durchführen.
a707e6f27e38	1138.704	1141.272	Sollte ich zu einem Neurologen gehen?
a72bc37374bc	1141.272	1147.176	Ihre Beschwerden können verschiedene Ursachen haben, deshalb sollten wir sie genauer untersuchen.
a7cc7189ab48	1147.176	1150.44	Wie lange dauert es, bis ich mich wieder besser fühle?
a80e7df80e4e	1150.44	1152.816	Haben Sie Blut im Urin bemerkt?
a89617cdc6a5	1152.816	1158.048	Damit können wir den Darm direkt beurteilen und bei Bedarf Gewebeproben entnehmen.
a97b56c57464	1158.048	1164.024	Ob ein Zusammenhang besteht, können wir erst nach der weiteren Abklärung besser einschätzen.
a98b241adf76	1164.024	1166.592	Fühlen Sie sich häufig niedergeschlagen?
aa8dec9262e8	1166.592	1170.216	Muss man das operieren oder geht es auch ohne OP?
